.threshold,specificity,sensitivity,model
-Inf,0,1,Random Forest
0.0465255933676056,0,1,Random Forest
0.049124470111005,0.00161550888529882,1,Random Forest
0.0493696423259995,0.00323101777059776,1,Random Forest
0.0567336854043457,0.00484652665589658,1,Random Forest
0.0592147178169277,0.00646203554119551,1,Random Forest
0.0593771391361337,0.00807754442649433,1,Random Forest
0.0609884789621563,0.00969305331179326,1,Random Forest
0.0610327767612266,0.0113085621970921,1,Random Forest
0.0640698465839294,0.0129240710823909,1,Random Forest
0.0642218826620839,0.0145395799676898,1,Random Forest
0.064630799029666,0.0161550888529887,1,Random Forest
0.0656759445341359,0.0177705977382876,1,Random Forest
0.0685764598830451,0.0193861066235864,1,Random Forest
0.0686089852785647,0.0210016155088854,1,Random Forest
0.0704967879000559,0.0226171243941842,1,Random Forest
0.0707947543188344,0.024232633279483,1,Random Forest
0.0712174785934887,0.0258481421647819,1,Random Forest
0.0713758107595453,0.0274636510500808,1,Random Forest
0.0714640209341992,0.0290791599353797,1,Random Forest
0.0716606629153137,0.0306946688206785,1,Random Forest
0.073274604756115,0.0323101777059773,1,Random Forest
0.0751319685474685,0.0339256865912763,1,Random Forest
0.0754195723542631,0.0355411954765751,1,Random Forest
0.0759895157938321,0.037156704361874,1,Random Forest
0.0765055397620501,0.037156704361874,0.997347480106101,Random Forest
0.0765089482719433,0.0387722132471728,0.997347480106101,Random Forest
0.0767234698760774,0.0403877221324718,0.997347480106101,Random Forest
0.0787983856682219,0.0403877221324718,0.994694960212202,Random Forest
0.0798744406833712,0.0403877221324718,0.992042440318302,Random Forest
0.0808694518144402,0.0420032310177706,0.992042440318302,Random Forest
0.0813590453577604,0.0436187399030694,0.992042440318302,Random Forest
0.0815265887157168,0.0436187399030694,0.989389920424403,Random Forest
0.0816723769805191,0.0452342487883684,0.989389920424403,Random Forest
0.0818531301929734,0.0468497576736672,0.989389920424403,Random Forest
0.0819675427488607,0.0484652665589661,0.989389920424403,Random Forest
0.0822168745078069,0.0500807754442649,0.989389920424403,Random Forest
0.0827262262370226,0.0516962843295639,0.989389920424403,Random Forest
0.082942356020364,0.0533117932148627,0.989389920424403,Random Forest
0.0829458066881083,0.0533117932148627,0.986737400530504,Random Forest
0.0836935940457741,0.0549273021001615,0.986737400530504,Random Forest
0.0839330518629688,0.0549273021001615,0.984084880636605,Random Forest
0.086159771516866,0.0549273021001615,0.981432360742706,Random Forest
0.0872241554524806,0.0565428109854604,0.981432360742706,Random Forest
0.0875612451505062,0.0565428109854604,0.978779840848806,Random Forest
0.0875949925140651,0.0581583198707593,0.978779840848806,Random Forest
0.0888643746586134,0.0597738287560582,0.978779840848806,Random Forest
0.0895900752748283,0.061389337641357,0.978779840848806,Random Forest
0.0899064467737891,0.0630048465266559,0.978779840848806,Random Forest
0.090797561630374,0.0630048465266559,0.976127320954907,Random Forest
0.0921476997443149,0.0646203554119548,0.976127320954907,Random Forest
0.092636408053247,0.0662358642972536,0.976127320954907,Random Forest
0.0929711461995254,0.0678513731825525,0.976127320954907,Random Forest
0.0936958193358569,0.0694668820678514,0.976127320954907,Random Forest
0.0950826098421528,0.0710823909531503,0.976127320954907,Random Forest
0.0951078233079385,0.0726978998384491,0.976127320954907,Random Forest
0.0953025462196915,0.074313408723748,0.976127320954907,Random Forest
0.0953933077001108,0.0759289176090469,0.976127320954907,Random Forest
0.0967620337572172,0.0775444264943457,0.976127320954907,Random Forest
0.0970508818684469,0.0791599353796446,0.976127320954907,Random Forest
0.0971948139393752,0.0807754442649434,0.976127320954907,Random Forest
0.0984997914344172,0.0823909531502424,0.976127320954907,Random Forest
0.0986823345110343,0.0840064620355412,0.976127320954907,Random Forest
0.0987882408277665,0.0856219709208401,0.976127320954907,Random Forest
0.0991240267958811,0.0872374798061389,0.976127320954907,Random Forest
0.100094368714226,0.0888529886914378,0.976127320954907,Random Forest
0.101296825330803,0.0904684975767367,0.976127320954907,Random Forest
0.101364413163789,0.0920840064620355,0.976127320954907,Random Forest
0.103445832771819,0.0936995153473345,0.976127320954907,Random Forest
0.1039238208027,0.0953150242326333,0.976127320954907,Random Forest
0.104188958344014,0.0969305331179321,0.976127320954907,Random Forest
0.105692802338326,0.098546042003231,0.976127320954907,Random Forest
0.105883354705254,0.098546042003231,0.973474801061008,Random Forest
0.106746676826429,0.098546042003231,0.970822281167109,Random Forest
0.106773706483807,0.10016155088853,0.970822281167109,Random Forest
0.107050852551609,0.101777059773829,0.970822281167109,Random Forest
0.10747570376922,0.101777059773829,0.96816976127321,Random Forest
0.107917509854719,0.103392568659128,0.96816976127321,Random Forest
0.109662867369987,0.105008077544427,0.96816976127321,Random Forest
0.110826593656272,0.106623586429725,0.96816976127321,Random Forest
0.111674374618315,0.108239095315024,0.96816976127321,Random Forest
0.111913732671221,0.109854604200323,0.96816976127321,Random Forest
0.113505531207612,0.111470113085622,0.96816976127321,Random Forest
0.113546878230452,0.113085621970921,0.96816976127321,Random Forest
0.113650957311455,0.11470113085622,0.96816976127321,Random Forest
0.113957559935013,0.116316639741519,0.96816976127321,Random Forest
0.115041996015537,0.117932148626817,0.96816976127321,Random Forest
0.115508036164756,0.119547657512116,0.96816976127321,Random Forest
0.115749572967197,0.121163166397415,0.96816976127321,Random Forest
0.116195766983649,0.122778675282714,0.96816976127321,Random Forest
0.117016555574405,0.124394184168013,0.96816976127321,Random Forest
0.117483508089776,0.126009693053312,0.96816976127321,Random Forest
0.118611305703432,0.126009693053312,0.96551724137931,Random Forest
0.119279468946274,0.127625201938611,0.96551724137931,Random Forest
0.119535070574285,0.12924071082391,0.96551724137931,Random Forest
0.120203492977352,0.130856219709208,0.96551724137931,Random Forest
0.120321969362481,0.132471728594507,0.96551724137931,Random Forest
0.120479628773768,0.134087237479806,0.96551724137931,Random Forest
0.120552118652509,0.135702746365105,0.96551724137931,Random Forest
0.121839702148463,0.137318255250404,0.96551724137931,Random Forest
0.121881658440756,0.138933764135703,0.96551724137931,Random Forest
0.121903641660608,0.140549273021002,0.96551724137931,Random Forest
0.122577105401298,0.1421647819063,0.96551724137931,Random Forest
0.123431582418036,0.143780290791599,0.96551724137931,Random Forest
0.123536456062042,0.145395799676898,0.96551724137931,Random Forest
0.124273149614164,0.147011308562197,0.96551724137931,Random Forest
0.124501396634977,0.148626817447496,0.96551724137931,Random Forest
0.124662943134399,0.150242326332795,0.96551724137931,Random Forest
0.125629376468035,0.150242326332795,0.962864721485411,Random Forest
0.12578395657242,0.151857835218094,0.962864721485411,Random Forest
0.126475265806581,0.153473344103393,0.962864721485411,Random Forest
0.126627587597345,0.155088852988691,0.962864721485411,Random Forest
0.126932033300891,0.15670436187399,0.962864721485411,Random Forest
0.127702161941739,0.158319870759289,0.962864721485411,Random Forest
0.127816778329937,0.159935379644588,0.962864721485411,Random Forest
0.127866873230712,0.161550888529887,0.962864721485411,Random Forest
0.128189771519466,0.163166397415186,0.962864721485411,Random Forest
0.129114439654797,0.164781906300485,0.962864721485411,Random Forest
0.129901785325276,0.166397415185784,0.962864721485411,Random Forest
0.130026813582874,0.168012924071082,0.962864721485411,Random Forest
0.130694864314294,0.169628432956381,0.962864721485411,Random Forest
0.130734251688542,0.17124394184168,0.962864721485411,Random Forest
0.13074700278544,0.172859450726979,0.962864721485411,Random Forest
0.131128688505451,0.174474959612278,0.962864721485411,Random Forest
0.131516327076356,0.176090468497577,0.962864721485411,Random Forest
0.131951681000162,0.177705977382876,0.962864721485411,Random Forest
0.132869835838301,0.179321486268174,0.962864721485411,Random Forest
0.135701010003725,0.180936995153473,0.962864721485411,Random Forest
0.136012164021065,0.182552504038772,0.962864721485411,Random Forest
0.13737990938444,0.184168012924071,0.962864721485411,Random Forest
0.137586999965037,0.18578352180937,0.962864721485411,Random Forest
0.137619548133605,0.187399030694669,0.962864721485411,Random Forest
0.137686166634591,0.187399030694669,0.960212201591512,Random Forest
0.137699586259654,0.187399030694669,0.957559681697613,Random Forest
0.141236061677025,0.189014539579968,0.957559681697613,Random Forest
0.14206877749463,0.190630048465267,0.957559681697613,Random Forest
0.142962738226661,0.192245557350565,0.957559681697613,Random Forest
0.143770700385178,0.193861066235864,0.957559681697613,Random Forest
0.144196222420679,0.195476575121163,0.957559681697613,Random Forest
0.144488410393414,0.195476575121163,0.954907161803714,Random Forest
0.144855681731493,0.197092084006462,0.954907161803714,Random Forest
0.144880936128924,0.198707592891761,0.954907161803714,Random Forest
0.144955883561812,0.20032310177706,0.954907161803714,Random Forest
0.145209562382844,0.201938610662359,0.954907161803714,Random Forest
0.14618607116428,0.203554119547658,0.954907161803714,Random Forest
0.146458349887098,0.203554119547658,0.952254641909814,Random Forest
0.147270138833937,0.205169628432956,0.952254641909814,Random Forest
0.14764845818233,0.206785137318255,0.952254641909814,Random Forest
0.149852155549427,0.208400646203554,0.952254641909814,Random Forest
0.151370518917055,0.210016155088853,0.952254641909814,Random Forest
0.1515518997658,0.210016155088853,0.949602122015915,Random Forest
0.152713476665135,0.211631663974152,0.949602122015915,Random Forest
0.152845338760436,0.213247172859451,0.949602122015915,Random Forest
0.15348673688216,0.21486268174475,0.949602122015915,Random Forest
0.153823482484926,0.216478190630049,0.949602122015915,Random Forest
0.154250165829786,0.218093699515347,0.949602122015915,Random Forest
0.15573978095045,0.218093699515347,0.946949602122016,Random Forest
0.156540939522927,0.219709208400646,0.946949602122016,Random Forest
0.157435072311554,0.221324717285945,0.946949602122016,Random Forest
