.threshold,specificity,sensitivity,model
-Inf,0,1,Gradient Boosted Trees
0.149032920598984,0,1,Gradient Boosted Trees
0.149839147925377,0.0323101777059773,0.994694960212202,Gradient Boosted Trees
0.151323467493057,0.0726978998384491,0.989389920424403,Gradient Boosted Trees
0.151870876550674,0.116316639741519,0.973474801061008,Gradient Boosted Trees
0.153821438550949,0.130856219709208,0.973474801061008,Gradient Boosted Trees
0.15463250875473,0.166397415185784,0.96816976127321,Gradient Boosted Trees
0.155285120010376,0.168012924071082,0.96551724137931,Gradient Boosted Trees
0.155481711030006,0.169628432956381,0.96551724137931,Gradient Boosted Trees
0.158745646476746,0.218093699515347,0.957559681697613,Gradient Boosted Trees
0.159051612019539,0.234248788368336,0.954907161803714,Gradient Boosted Trees
0.161838039755821,0.237479806138934,0.954907161803714,Gradient Boosted Trees
0.162562415003777,0.240710823909531,0.952254641909814,Gradient Boosted Trees
0.163506656885147,0.243941841680129,0.952254641909814,Gradient Boosted Trees
0.163965687155724,0.247172859450727,0.949602122015915,Gradient Boosted Trees
0.16530080139637,0.252019386106624,0.949602122015915,Gradient Boosted Trees
0.165391430258751,0.252019386106624,0.946949602122016,Gradient Boosted Trees
0.166326403617859,0.253634894991923,0.946949602122016,Gradient Boosted Trees
0.16653673350811,0.255250403877221,0.946949602122016,Gradient Boosted Trees
0.167889446020126,0.260096930533118,0.946949602122016,Gradient Boosted Trees
0.168704301118851,0.260096930533118,0.944297082228117,Gradient Boosted Trees
0.169769868254662,0.264943457189015,0.944297082228117,Gradient Boosted Trees
0.17292246222496,0.268174474959612,0.941644562334218,Gradient Boosted Trees
0.174364432692528,0.269789983844911,0.941644562334218,Gradient Boosted Trees
0.174534648656845,0.27140549273021,0.941644562334218,Gradient Boosted Trees
0.174880415201187,0.273021001615509,0.941644562334218,Gradient Boosted Trees
0.174881711602211,0.274636510500808,0.941644562334218,Gradient Boosted Trees
0.175102323293686,0.276252019386107,0.941644562334218,Gradient Boosted Trees
0.175668954849243,0.277867528271405,0.941644562334218,Gradient Boosted Trees
0.176071465015411,0.284329563812601,0.941644562334218,Gradient Boosted Trees
0.17792221903801,0.2859450726979,0.941644562334218,Gradient Boosted Trees
0.17839989066124,0.287560581583199,0.941644562334218,Gradient Boosted Trees
0.179125905036926,0.289176090468498,0.941644562334218,Gradient Boosted Trees
0.179270446300507,0.292407108239095,0.941644562334218,Gradient Boosted Trees
0.179806530475616,0.294022617124394,0.941644562334218,Gradient Boosted Trees
0.181468784809113,0.295638126009693,0.938992042440318,Gradient Boosted Trees
0.182552024722099,0.297253634894992,0.938992042440318,Gradient Boosted Trees
0.183971509337425,0.298869143780291,0.938992042440318,Gradient Boosted Trees
0.184109106659889,0.30048465266559,0.938992042440318,Gradient Boosted Trees
0.184831380844116,0.302100161550889,0.938992042440318,Gradient Boosted Trees
0.186025753617287,0.305331179321486,0.938992042440318,Gradient Boosted Trees
0.186544969677925,0.305331179321486,0.936339522546419,Gradient Boosted Trees
0.18657049536705,0.306946688206785,0.936339522546419,Gradient Boosted Trees
0.187467843294144,0.308562197092084,0.936339522546419,Gradient Boosted Trees
0.188280940055847,0.310177705977383,0.936339522546419,Gradient Boosted Trees
0.188412427902222,0.313408723747981,0.936339522546419,Gradient Boosted Trees
0.188611894845963,0.316639741518578,0.936339522546419,Gradient Boosted Trees
0.190169394016266,0.316639741518578,0.93368700265252,Gradient Boosted Trees
0.19027803838253,0.318255250403877,0.931034482758621,Gradient Boosted Trees
0.19050607085228,0.321486268174475,0.928381962864722,Gradient Boosted Trees
0.190741524100304,0.323101777059774,0.928381962864722,Gradient Boosted Trees
0.19240865111351,0.324717285945073,0.928381962864722,Gradient Boosted Trees
0.192885473370552,0.326332794830372,0.928381962864722,Gradient Boosted Trees
0.192989304661751,0.326332794830372,0.925729442970822,Gradient Boosted Trees
0.19442418217659,0.331179321486268,0.925729442970822,Gradient Boosted Trees
0.196098819375038,0.336025848142165,0.925729442970822,Gradient Boosted Trees
0.196648344397545,0.337641357027464,0.925729442970822,Gradient Boosted Trees
0.196652337908745,0.339256865912763,0.925729442970822,Gradient Boosted Trees
0.197804316878319,0.34248788368336,0.925729442970822,Gradient Boosted Trees
0.202482834458351,0.344103392568659,0.925729442970822,Gradient Boosted Trees
0.202777057886124,0.347334410339257,0.925729442970822,Gradient Boosted Trees
0.203492730855942,0.347334410339257,0.923076923076923,Gradient Boosted Trees
0.203632175922394,0.348949919224556,0.923076923076923,Gradient Boosted Trees
0.204100355505943,0.350565428109855,0.923076923076923,Gradient Boosted Trees
0.20628322660923,0.352180936995154,0.923076923076923,Gradient Boosted Trees
0.206390216946602,0.353796445880452,0.923076923076923,Gradient Boosted Trees
0.207730948925018,0.353796445880452,0.920424403183024,Gradient Boosted Trees
0.208065524697304,0.366720516962843,0.915119363395226,Gradient Boosted Trees
0.209101960062981,0.368336025848142,0.915119363395226,Gradient Boosted Trees
0.209221556782722,0.368336025848142,0.912466843501326,Gradient Boosted Trees
0.209756568074226,0.369951534733441,0.912466843501326,Gradient Boosted Trees
0.210365235805511,0.37156704361874,0.912466843501326,Gradient Boosted Trees
0.210607647895813,0.373182552504039,0.912466843501326,Gradient Boosted Trees
0.211212992668152,0.374798061389338,0.912466843501326,Gradient Boosted Trees
0.212363541126251,0.376413570274637,0.912466843501326,Gradient Boosted Trees
0.212610706686974,0.379644588045234,0.909814323607427,Gradient Boosted Trees
0.212996989488602,0.382875605815832,0.909814323607427,Gradient Boosted Trees
0.213382393121719,0.382875605815832,0.904509283819629,Gradient Boosted Trees
0.213577255606651,0.384491114701131,0.904509283819629,Gradient Boosted Trees
0.214488223195076,0.387722132471729,0.904509283819629,Gradient Boosted Trees
0.214809358119965,0.389337641357027,0.904509283819629,Gradient Boosted Trees
0.215295150876045,0.390953150242326,0.904509283819629,Gradient Boosted Trees
0.215639278292656,0.392568659127625,0.904509283819629,Gradient Boosted Trees
0.215896859765053,0.394184168012924,0.904509283819629,Gradient Boosted Trees
0.217603594064713,0.395799676898223,0.904509283819629,Gradient Boosted Trees
0.217696741223335,0.410339256865913,0.904509283819629,Gradient Boosted Trees
0.218616038560867,0.411954765751212,0.904509283819629,Gradient Boosted Trees
0.218702062964439,0.413570274636511,0.904509283819629,Gradient Boosted Trees
0.220759019255638,0.413570274636511,0.90185676392573,Gradient Boosted Trees
0.221484109759331,0.418416801292407,0.89920424403183,Gradient Boosted Trees
0.223652228713036,0.420032310177706,0.89920424403183,Gradient Boosted Trees
0.224133715033531,0.4281098546042,0.896551724137931,Gradient Boosted Trees
0.224250435829163,0.429725363489499,0.896551724137931,Gradient Boosted Trees
0.226664200425148,0.431340872374798,0.896551724137931,Gradient Boosted Trees
0.226812407374382,0.432956381260097,0.896551724137931,Gradient Boosted Trees
0.228979870676994,0.434571890145396,0.896551724137931,Gradient Boosted Trees
0.229283690452576,0.436187399030695,0.896551724137931,Gradient Boosted Trees
0.22928449511528,0.437802907915994,0.896551724137931,Gradient Boosted Trees
0.229668825864792,0.437802907915994,0.893899204244032,Gradient Boosted Trees
0.230579912662506,0.441033925686591,0.891246684350133,Gradient Boosted Trees
0.230795934796333,0.444264943457189,0.891246684350133,Gradient Boosted Trees
0.231051877140999,0.445880452342488,0.891246684350133,Gradient Boosted Trees
0.23153156042099,0.445880452342488,0.888594164456233,Gradient Boosted Trees
0.23217661678791,0.447495961227787,0.888594164456233,Gradient Boosted Trees
0.23292350769043,0.447495961227787,0.885941644562334,Gradient Boosted Trees
0.233260408043861,0.449111470113086,0.885941644562334,Gradient Boosted Trees
0.234324261546135,0.458804523424879,0.883289124668435,Gradient Boosted Trees
0.236361429095268,0.458804523424879,0.880636604774536,Gradient Boosted Trees
0.238180205225945,0.468497576736672,0.877984084880637,Gradient Boosted Trees
0.238331496715546,0.470113085621971,0.877984084880637,Gradient Boosted Trees
0.239010468125343,0.47172859450727,0.875331564986737,Gradient Boosted Trees
0.240867406129837,0.473344103392569,0.875331564986737,Gradient Boosted Trees
0.24125449359417,0.474959612277868,0.872679045092838,Gradient Boosted Trees
