.threshold,specificity,sensitivity,model
-Inf,0,1,Logistic Regression
0.0627375831372032,0,1,Logistic Regression
0.0722765615301169,0.0103092783505154,1,Logistic Regression
0.0808960241388025,0.020618556701031,1,Logistic Regression
0.0974170800134083,0.0309278350515464,1,Logistic Regression
0.116581536110789,0.0309278350515464,0.994897959183674,Logistic Regression
0.118420199759433,0.0412371134020618,0.994897959183674,Logistic Regression
0.14227619761357,0.0515463917525774,0.994897959183674,Logistic Regression
0.145767698254769,0.0618556701030928,0.994897959183674,Logistic Regression
0.158693100639968,0.0618556701030928,0.989795918367347,Logistic Regression
0.167767828605735,0.0721649484536082,0.989795918367347,Logistic Regression
0.175486961606346,0.0824742268041238,0.989795918367347,Logistic Regression
0.187631261933396,0.0927835051546392,0.989795918367347,Logistic Regression
0.188277401429729,0.103092783505155,0.989795918367347,Logistic Regression
0.193363641395882,0.103092783505155,0.984693877551021,Logistic Regression
0.194644182396226,0.11340206185567,0.984693877551021,Logistic Regression
0.196841979989998,0.123711340206186,0.984693877551021,Logistic Regression
0.22120854484634,0.134020618556701,0.984693877551021,Logistic Regression
0.228461097880967,0.144329896907217,0.984693877551021,Logistic Regression
0.236749130789689,0.154639175257732,0.984693877551021,Logistic Regression
0.239764175719414,0.164948453608247,0.984693877551021,Logistic Regression
0.246635990973554,0.175257731958763,0.984693877551021,Logistic Regression
0.262058324113827,0.185567010309278,0.984693877551021,Logistic Regression
0.273439003408219,0.195876288659794,0.984693877551021,Logistic Regression
0.273660842630625,0.206185567010309,0.984693877551021,Logistic Regression
0.273993659753562,0.216494845360825,0.984693877551021,Logistic Regression
0.279541460246732,0.22680412371134,0.984693877551021,Logistic Regression
0.27988872357943,0.237113402061856,0.984693877551021,Logistic Regression
0.283358488451485,0.237113402061856,0.979591836734694,Logistic Regression
0.303671941197369,0.247422680412371,0.979591836734694,Logistic Regression
0.307395842049966,0.257731958762887,0.979591836734694,Logistic Regression
0.310928102926312,0.268041237113402,0.979591836734694,Logistic Regression
0.314861357772987,0.278350515463918,0.979591836734694,Logistic Regression
0.353584390436558,0.288659793814433,0.979591836734694,Logistic Regression
